date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:29	2651/2651	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:07%20GMT	http://focuscarelink.co.uk/staff/login.php	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/staff/login.html	(from http://focuscarelink.co.uk/staff/)
22:12:32	42878/42878	---M--	200	added ('OK')	image/jpeg	etag:%22f322a424e4dcf1:7490c%22	http://focuscarelink.co.uk/Uploads/whowehelp.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/whowehelp.jpg	(from http://focuscarelink.co.uk/page.php?id=3)
22:12:34	65342/65342	---M--	200	added ('OK')	image/jpeg	etag:%22c749523e4dcf1:7490c%22	http://focuscarelink.co.uk/Uploads/whatwedo.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/whatwedo.jpg	(from http://focuscarelink.co.uk/page.php?id=2)
22:12:39	55416/55416	---M--	200	added ('OK')	image/jpeg	etag:%22c5a274e9d4dcf1:7490c%22	http://focuscarelink.co.uk/Uploads/homecare.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/homecare.jpg	(from http://focuscarelink.co.uk/page.php?id=4)
22:12:40	46795/46795	---M--	200	added ('OK')	image/jpeg	etag:%22d9255dbd4dcf1:7490c%22	http://focuscarelink.co.uk/Uploads/liveincare.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/liveincare.jpg	(from http://focuscarelink.co.uk/page.php?id=5)
22:12:44	58677/58677	---M--	200	added ('OK')	image/jpeg	etag:%229db926a8d4dcf1:7490c%22	http://focuscarelink.co.uk/Uploads/cleaning.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/cleaning.jpg	(from http://focuscarelink.co.uk/page.php?id=6)
22:12:46	199486/199486	---M--	200	added ('OK')	image/jpeg	etag:%22b9a33ef6e4bd51:7490c%22	http://focuscarelink.co.uk/Uploads/UKAS-ISO-9001.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/UKAS-ISO-9001.jpg	(from http://focuscarelink.co.uk/page.php?id=1)
22:12:46	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Jul%202021%2021:12:45%20GMT	http://www.cqc.org.uk/sites/all/modules/custom/cqc_widget/widget.js?data-id=1-118941704&data-host=www.cqc.org.uk&type=location	C:/code/alikor/focus/focuscarelink/www.cqc.org.uk/sites/all/modules/custom/cqc_widget/widget.2d2397.delayed	(from http://focuscarelink.co.uk/page.php?id=32)
22:12:47	51157/51157	---M--	200	added ('OK')	image/jpeg	etag:%223d39afaad4dcf1:7490c%22	http://focuscarelink.co.uk/Uploads/cultural2.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/cultural2.jpg	(from http://focuscarelink.co.uk/page.php?id=7)
22:12:47	6983/6983	---M-Z	200	added ('OK')	application/javascript	etag:%221b47-5a47ca985956f-gzip%22	https://www.cqc.org.uk/sites/all/modules/custom/cqc_widget/widget.js?data-id=1-118941704&data-host=www.cqc.org.uk&type=location	C:/code/alikor/focus/focuscarelink/www.cqc.org.uk/sites/all/modules/custom/cqc_widget/widget2397.js	(from http://focuscarelink.co.uk/page.php?id=32)
22:12:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2013%20Jul%202021%2021:12:46%20GMT	http://www.cqc.org.uk/sites/all/modules/custom/cqc_widget/widget.js?data-id=1-2476674448&data-host=www.cqc.org.uk&type=location	C:/code/alikor/focus/focuscarelink/www.cqc.org.uk/sites/all/modules/custom/cqc_widget/widget.2f325f.delayed	(from http://focuscarelink.co.uk/page.php?id=32)
